,bleu,rouge_f1,levenshtein,overall
trafilatura,3.8,3.9,3.9,3.8667
readability,4.6,5.2,5.0,4.9333
web2text,6.2,5.6,5.75,5.85
resiliparse,6.5,6.0,6.05,6.1833
bte,6.4,7.1,7.3,6.9333
crawl4ai,8.0,8.5,8.5,8.3333
boilerpipe,9.6,8.9,8.95,9.15
dragnet,9.7,9.8,9.75,9.75
go_domdistiller,9.4,9.9,10.0,9.7667
news_please,9.7,9.75,9.95,9.8
boilernet,10.1,9.9,10.0,10.0
justext,10.1,10.4,10.2,10.2333
newspaper3k,10.2,10.55,10.55,10.4333
goose3,11.0,10.5,10.2,10.5667
extractnet,11.7,11.8,11.5,11.6667
pyg,14.3,14.2,14.2,14.2333
bidirectional,15.0,14.3,14.4,14.5667
cascade,14.7,14.7,14.8,14.7333

