model,canola,cetd,cleaneval,cleanportaleval,multipage,dragnet,google-trends-2017,readability,scrapinghub
bidirectional,0.6972,0.4935,0.4759,0.5337,0.3921,0.4288,0.4333,0.5753,0.5633
boilernet,0.6881,0.6978,0.7934,0.6733,0.4083,0.5881,0.6883,0.7273,0.7628
boilerpipe,0.6009,0.7412,0.7056,0.8632,0.3482,0.6738,0.5809,0.7424,0.7786
bs4,0.6752,0.6257,0.8021,0.4124,,0.4638,0.4728,0.6571,0.4936
bte,0.7579,0.8317,0.8313,0.6555,0.4017,0.7088,0.5574,0.7706,0.7549
crawl4ai,0.7652,0.7901,0.7981,0.7081,0.4542,0.6784,0.5591,0.7579,0.733
dragnet,0.6323,0.7924,0.6848,0.8902,0.0927,0.7063,0.5713,0.6895,0.8361
extractnet,0.701,0.7236,0.7458,0.7661,0.3382,0.5768,0.5094,0.7151,0.7637
go_domdistiller,0.7247,0.7951,0.8097,0.0282,0.4233,0.0,0.6578,0.0,0.8717
goose3,0.6705,0.6941,0.7075,0.8768,0.303,0.6567,0.6164,0.6731,0.8292
html_text,0.6729,0.6439,0.8072,0.4182,,0.4698,0.4665,0.6689,0.4985
inscriptis,0.6773,0.615,0.8046,0.3907,,0.4584,0.4474,0.6781,0.4851
justext,0.8162,0.7705,0.8273,0.7505,0.083,0.6948,0.5426,0.4808,0.667
lxml_cleaner,0.683,0.6452,0.7872,0.4176,,0.5251,0.5889,0.7438,0.6429
news_please,0.6619,0.7607,0.7349,0.8824,0.2999,0.6546,0.5553,0.7261,0.8612
newspaper3k,0.6571,0.7608,0.7259,0.8824,0.3008,0.6531,0.5553,0.7265,0.8618
readability,0.7194,0.818,0.812,0.9006,0.3295,0.7189,0.5908,0.8134,0.8784
resiliparse,0.718,0.8073,0.8214,0.8483,0.5033,0.6407,0.694,0.881,0.9009
trafilatura,0.7206,0.8307,0.7891,0.8772,0.4504,0.7506,0.695,0.8953,0.9069
web2text,0.7463,0.8641,0.8653,0.7055,0.4809,0.7531,0.5786,0.8085,0.7335
xpath_text,0.6783,0.6291,0.6613,0.4162,,0.4673,,0.6746,0.4994
ensemble_best,,0.8165,0.8617,0.8839,,0.7254,0.6628,0.8861,0.9039
ensemble_majority,,0.798,0.848,0.8978,,0.7175,0.6582,0.8548,0.9135
ensemble_weighted,,0.8485,0.8727,0.8807,,0.7549,0.671,0.9192,0.8971
