model,canola,cetd,cleaneval,cleanportaleval,multipage,dragnet,google-trends-2017,readability,scrapinghub
bidirectional,0.7561,0.6262,0.6193,0.6384,0.5053,0.5593,0.5593,0.6782,0.6609
boilernet,0.7606,0.8136,0.8654,0.7427,0.5123,0.6972,0.762,0.7996,0.8408
boilerpipe,0.6923,0.8463,0.804,0.9082,0.4635,0.7691,0.6688,0.8214,0.8483
bs4,0.7551,0.7567,0.8731,0.5621,,0.5992,0.6036,0.7531,0.6308
bte,0.8057,0.8937,0.8821,0.7698,0.4759,0.7942,0.6205,0.8245,0.8203
crawl4ai,0.8084,0.8544,0.8543,0.7968,0.5557,0.7632,0.6532,0.822,0.81
dragnet,0.6945,0.8786,0.7619,0.923,0.1819,0.7983,0.652,0.7799,0.8939
extractnet,0.761,0.8382,0.8056,0.8535,0.4022,0.6893,0.5995,0.791,0.8422
go_domdistiller,0.775,0.8828,0.8579,0.0282,0.5264,0.0,0.7241,0.9106,0.9174
goose3,0.7321,0.7933,0.7844,0.9284,0.4255,0.7577,0.7028,0.7572,0.8765
html_text,0.7529,0.7679,0.876,0.5671,,0.6038,0.5968,0.7605,0.6341
inscriptis,0.7555,0.7477,0.8682,0.5389,,0.5941,0.584,0.765,0.6211
justext,0.855,0.8589,0.8808,0.8156,0.1068,0.7807,0.6114,0.5326,0.7225
lxml_cleaner,0.7582,0.7711,0.853,0.5611,,0.6537,0.6948,0.8196,0.7552
news_please,0.7265,0.8511,0.8039,0.922,0.4266,0.7395,0.6338,0.7927,0.902
newspaper3k,0.7217,0.8512,0.7953,0.922,0.4297,0.7381,0.6346,0.7938,0.9023
readability,0.7763,0.8959,0.8684,0.9306,0.4361,0.8043,0.6651,0.8619,0.9167
resiliparse,0.7846,0.8786,0.8758,0.9036,0.596,0.72,0.7567,0.918,0.9411
trafilatura,0.7779,0.9047,0.851,0.9191,0.5815,0.8371,0.7619,0.9324,0.9401
web2text,0.8078,0.9137,0.9098,0.8086,0.5759,0.8265,0.6614,0.866,0.8218
xpath_text,0.7571,0.7593,0.7212,0.5657,,0.6023,0.6063,0.7631,0.6355
ensemble_best,,0.9026,0.908,0.9217,,0.8126,0.7308,0.9233,0.9413
ensemble_majority,,0.8953,0.9,0.9326,,0.8116,0.7258,0.8986,0.9471
ensemble_weighted,,0.9199,0.9154,0.9202,,0.8405,0.7426,0.9498,0.937
