model,canola,cetd,cleaneval,cleanportaleval,multipage,dragnet,google-trends-2017,readability,scrapinghub
bidirectional,0.7628,0.636,0.6265,0.6542,0.521,0.5786,0.5843,0.695,0.6833
boilernet,0.7655,0.8172,0.8676,0.7512,0.5235,0.703,0.7701,0.8048,0.8442
boilerpipe,0.6989,0.8497,0.8072,0.9089,0.4746,0.7731,0.6801,0.826,0.8546
bs4,0.7551,0.7589,0.8734,0.5621,,,,,
bte,0.8097,0.8977,0.8837,0.7727,0.4878,0.7979,0.6292,0.8271,0.822
crawl4ai,0.8142,0.8642,0.8572,0.8024,0.5637,0.7717,0.6622,0.8263,0.8154
dragnet,0.6993,0.8806,0.7638,0.9238,0.1863,0.8011,0.6596,0.7822,0.8954
extractnet,0.7651,0.8416,0.808,0.8552,0.4113,0.6923,0.6075,0.7937,0.8456
go_domdistiller,0.7798,0.8846,0.8597,0.0282,0.5354,0.0,0.7329,0.9144,0.9185
goose3,0.7375,0.7982,0.7906,0.9289,0.4331,0.7629,0.7076,0.7607,0.878
html_text,0.7531,0.7702,,0.5671,,,,,
inscriptis,0.7581,0.7504,,0.5389,,,,,
justext,0.8608,0.8628,0.8827,0.8229,0.1076,0.7851,0.6232,0.5345,0.7262
lxml_cleaner,0.7582,0.7734,,0.5656,,,,,
news_please,0.7304,0.8552,0.8105,0.9229,0.4336,0.7459,0.6411,0.7941,0.9044
newspaper3k,0.7256,0.8553,0.8018,0.9229,0.437,0.7445,0.6419,0.7952,0.9046
readability,0.779,0.8972,0.8695,0.9314,0.444,0.8062,0.6732,0.8635,0.9172
resiliparse,0.7862,0.881,0.8775,0.9038,0.6062,0.724,0.7625,0.919,0.9419
trafilatura,0.7813,0.9068,0.8568,0.9199,0.5914,0.8396,0.7653,0.9341,0.9406
web2text,0.8117,0.9181,0.912,0.809,0.588,0.8287,0.6653,0.8676,0.8232
xpath_text,0.7571,0.7615,,0.5657,,,,,
ensemble_best,,0.9027,0.9093,0.9225,,0.8145,,,
ensemble_majority,,0.8952,0.9011,0.9332,,0.8135,,,
ensemble_weighted,,0.9204,0.9165,0.9208,,,,,
