model,canola,cetd,cleaneval,cleanportaleval,multipage,dragnet,google-trends-2017,readability,scrapinghub
bidirectional,0.768,0.8385,0.8634,0.7256,0.5488,0.6994,0.6836,0.797,0.7111
boilernet,0.7635,0.9367,0.8654,0.8306,0.639,0.8003,0.8098,0.8548,0.8379
boilerpipe,0.8313,0.9775,0.9373,0.9203,0.6726,0.8885,0.7889,0.9133,0.8599
bs4,0.6787,0.6366,0.8164,0.4161,,,,,
bte,0.7969,0.8945,0.8859,0.6812,0.6097,0.7697,0.6619,0.8274,0.7721
crawl4ai,0.7994,0.8763,0.8444,0.728,0.5523,0.7381,0.6326,0.8237,0.7654
dragnet,0.7704,0.975,0.8652,0.9376,0.4737,0.9165,0.7738,0.9001,0.9243
extractnet,0.8096,0.9578,0.8689,0.9026,0.4645,0.8064,0.6747,0.8456,0.8683
go_domdistiller,0.8077,0.9771,0.8883,0.0282,0.6627,0.0,0.7773,0.9304,0.8954
goose3,0.8013,0.9119,0.8781,0.9768,0.7135,0.9239,0.8296,0.8615,0.9258
html_text,0.6779,0.6498,,0.4205,,,,,
inscriptis,0.6839,0.6252,,0.3926,,,,,
justext,0.8527,0.9626,0.9187,0.8035,0.1375,0.843,0.676,0.5688,0.731
lxml_cleaner,0.6865,0.6569,,0.4234,,,,,
news_please,0.782,0.9608,0.8919,0.9494,0.6925,0.8869,0.793,0.8785,0.9281
newspaper3k,0.779,0.9614,0.8845,0.9494,0.7206,0.8868,0.8042,0.8782,0.928
readability,0.787,0.9831,0.9161,0.9416,0.6822,0.9294,0.8086,0.9269,0.9273
resiliparse,0.741,0.9459,0.8608,0.8781,0.6861,0.808,0.8033,0.906,0.9099
trafilatura,0.7793,0.9736,0.8829,0.9502,0.7223,0.9159,0.8296,0.9354,0.9284
web2text,0.7773,0.913,0.9152,0.709,0.6061,0.777,0.6396,0.8339,0.7387
xpath_text,0.6818,0.6401,,0.4199,,,,,
ensemble_best,,0.9964,0.931,0.924,,0.9229,,,
ensemble_majority,,0.9984,0.9295,0.95,,0.9312,,,
ensemble_weighted,,0.9931,0.923,0.9195,,,,,
