model,canola,cetd,cleaneval,cleanportaleval,multipage,dragnet,google-trends-2017,readability,scrapinghub
bidirectional,0.8878,0.5863,0.5764,0.6769,0.6676,0.5701,0.6499,0.6978,0.724
boilernet,0.9121,0.756,0.9109,0.736,0.5516,0.6889,0.7896,0.8095,0.8945
boilerpipe,0.7426,0.79,0.7741,0.9342,0.4462,0.7502,0.6782,0.8095,0.8866
bs4,0.9999,0.9823,0.984,0.9931,,,,,
bte,0.9308,0.9217,0.9199,0.9511,0.5055,0.8889,0.7045,0.8753,0.9287
crawl4ai,0.9308,0.8681,0.8985,0.9422,0.7088,0.8642,0.8317,0.8697,0.9217
dragnet,0.7509,0.8272,0.746,0.9423,0.1432,0.7701,0.6622,0.7565,0.8992
extractnet,0.7834,0.7724,0.7953,0.8559,0.451,0.6515,0.6003,0.7831,0.8591
go_domdistiller,0.862,0.8307,0.8687,0.0282,0.5464,0.0,0.7567,0.9131,0.9612
goose3,0.7875,0.7336,0.7714,0.9069,0.3688,0.7076,0.6771,0.7213,0.8604
html_text,0.9953,0.9909,,0.9985,,,,,
inscriptis,0.9943,0.9894,,0.9992,,,,,
justext,0.9328,0.805,0.8697,0.8933,0.1004,0.7737,0.6529,0.537,0.7644
lxml_cleaner,0.9809,0.9797,,0.9745,,,,,
news_please,0.8142,0.7948,0.8032,0.9344,0.377,0.703,0.6402,0.7762,0.9126
newspaper3k,0.8142,0.7949,0.7988,0.9344,0.38,0.7016,0.6406,0.7791,0.9131
readability,0.8992,0.8459,0.8773,0.9539,0.3992,0.7712,0.6643,0.8562,0.9374
resiliparse,0.9652,0.8529,0.9369,0.9706,0.6634,0.7382,0.7786,0.9473,0.9852
trafilatura,0.9084,0.8685,0.8764,0.928,0.5888,0.8345,0.7734,0.9546,0.9702
web2text,0.9586,0.937,0.9301,0.9963,0.6787,0.9385,0.8439,0.9413,0.9838
xpath_text,0.9999,0.9822,,0.993,,,,,
ensemble_best,,0.8469,0.9167,0.9553,,0.791,,,
ensemble_majority,,0.8333,0.9027,0.9489,,0.7782,,,
ensemble_weighted,,0.8747,0.9385,0.9568,,,,,
